Index,energy,temp,feelslike,dew,humidity,response
1084,18,25.7,25.7,22.8,83.82,2
1085,17.9,26,26,23,83.57,2
1086,21.6,25.1,25.1,23,88.35,2
1087,18,24.8,24.8,23.8,94.14,2
1088,28.1,24.1,24.1,23.7,97.94,2
1089,73.5,24.3,24.3,23.2,93.52,2
1090,146.5,25,25,24,94.17,2
1091,159.5,26.8,29.6,23.8,83.62,1
1092,148.1,28.2,32,23.7,76.79,1
1093,155.9,30.7,35.1,23,63.53,1
1094,166.9,32,36.8,23,59.05,1
1095,181.9,33.1,37.3,22.2,52.89,1
1096,186,33.3,36.6,21.2,49.13,1
1097,177.4,31,36.6,24,66.26,1
1098,173.4,31,36.4,23.9,65.72,1
1099,150.1,32,33.5,19,46.1,1
1100,120.58,30.1,31.8,19.8,54.08,1
1101,86.28,28.8,30.6,20.2,59.79,1
1102,81.16,27.8,29.8,20.9,66.24,1
1103,34.2,27,29.2,22,74.18,1
1104,22.4,26.1,26.1,22.7,81.88,1
1105,14.7,26,26,22,78.68,2
1106,15,25.3,25.3,21.8,80.97,2
1107,16.7,25,25,21.8,82.35,2
1108,18.4,24,24,22,88.6,2
1109,18.2,24,24,20,78.4,2
1110,13.2,23.2,23.2,19.9,81.83,2
1111,12.5,22,22,20,88.44,2
1112,25.8,22.8,22.8,19.1,79.59,2
1113,59.2,23.1,23.1,19.9,82.37,2
1114,144,26.7,28.1,19.9,66.2,1
1115,156.6,28.7,30.4,19.8,58.47,1
1116,168.2,30.3,31.7,19.2,51.46,1
1117,168.7,32,34.2,20,49.14,1
1118,182.6,32,34.2,20,49.1,1
1119,202,33,34.6,19,43.63,2
1120,191.6,33,34.6,19,43.61,1
1121,187,33.3,35.6,19.9,45.35,1
1122,153.6,31.1,34.5,21.8,57.78,1
1123,132,30.8,34.2,21.9,59.15,1
1124,112.8,29.3,32.4,22.1,65.1,1
1125,102.9,27.8,30.8,22.9,74.71,1
1126,77.4,27,29.6,23,78.69,1
1127,35.9,25.7,25.7,22.8,83.73,2
1128,24.5,25.2,25.2,22.8,86.52,2
1129,19.9,26,26,22,78.64,2
1130,18,26,26,22,78.64,2
1131,15.9,25.1,25.1,21.8,82.04,2
1132,17.2,24,24,21.8,87.36,2
1133,19,24,24,21,83.34,2
1134,15.3,23.1,23.1,21.1,88.5,2
1135,13.5,24.8,24.8,21.1,79.88,2
1136,19.7,24.8,24.8,21.1,79.86,2
1137,69.2,24.9,24.9,21.9,83.46,2
1138,111,27.1,29.3,21.9,73.37,1
1139,153.6,29,32,22,65.96,1
1140,167.4,30,33.2,21.9,61.82,1
1141,153.6,31.8,35.6,22.1,56.47,1
1142,148,33,37,22,52.52,1
1143,172.5,33.2,37.1,21.9,51.65,1
1144,178.6,33,35.9,20.8,48.71,1
1145,169.7,33.1,36.2,21.1,49.41,1
1146,158.2,33.1,36.2,21.1,49.45,1
1147,150.7,33,36.1,21,49.44,1
1148,133.6,30.8,36.3,24.1,67.44,1
1149,110.6,28.8,33.3,24.1,75.67,1
1150,75,28.8,31.8,22.1,67.09,1
1151,36.4,28,30.6,21.9,69.47,1
1152,27,27.1,29.3,22.1,74.15,1
1153,21.8,27,29.2,22,74.12,1
1154,22.1,27,29.3,22.1,74.4,1
1155,21.1,26.3,26.3,22.1,77.62,1
1156,23.6,26,26,22,78.68,2
1157,24.8,26,26,22,78.66,2
1158,19.3,25.7,25.7,22,79.98,2
1159,19.2,25,25,22,83.48,2
1160,20.2,25.1,25.1,21.8,82.04,2
1161,43.3,25.8,25.8,21.8,78.65,2
1162,65.2,28,30.7,22,69.92,1
1163,93.1,30,33.3,22,62.3,1
1164,99.1,31.8,35.6,22.1,56.49,1
1165,97,33,37,22,52.52,1
1166,100.4,33.1,37.3,22.2,52.88,1
1167,106.9,33.8,38.2,22.2,50.8,1
1168,94,31.8,37.6,24,63.46,1
1169,78,28.1,32.7,24.8,82.27,1
1170,62,28.8,35.1,25.9,84.31,1
1171,74.1,28,32,24,78.88,1
1172,61.4,28,32,24,78.9,1
1173,53.4,27.1,30.6,24.7,87.02,1
1174,49,26,26,24,88.74,2
1175,23.4,26.1,26.1,23.1,83.56,1
1176,21.9,25.8,25.8,22.7,83.26,2
1177,23.3,25.1,25.1,23.1,88.66,2
1178,24.2,25,25,23,88.68,2
1179,21.1,25.2,25.2,23.2,88.68,2
1180,22.3,26,26,22.9,83.02,2
1181,22.9,26,26,23,83.59,2
1182,22.1,25.2,25.2,22.9,87.21,2
1183,22.9,25.1,25.1,22.1,83.48,2
1184,21.7,25.1,25.1,22.1,83.48,2
1185,38.3,25.2,25.2,22.1,82.93,2
